year,constructorName,n,pct
2001,BAR,2,0.0392156862745098
2001,Benetton,1,0.0196078431372549
2001,Ferrari,24,0.47058823529411764
2001,Jaguar,1,0.0196078431372549
2001,McLaren,13,0.2549019607843137
2001,Sauber,1,0.0196078431372549
2001,Williams,9,0.17647058823529413
2002,Ferrari,27,0.5294117647058824
2002,Jaguar,1,0.0196078431372549
2002,McLaren,10,0.19607843137254902
2002,Williams,13,0.2549019607843137
2003,Ferrari,16,0.3333333333333333
2003,Jordan,1,0.020833333333333332
2003,McLaren,13,0.2708333333333333
2003,Renault,5,0.10416666666666667
2003,Sauber,1,0.020833333333333332
2003,Williams,12,0.25
2004,BAR,11,0.2037037037037037
2004,Ferrari,29,0.5370370370370371
2004,McLaren,4,0.07407407407407407
2004,Renault,6,0.1111111111111111
2004,Williams,4,0.07407407407407407
2005,BAR,2,0.03508771929824561
2005,Ferrari,9,0.15789473684210525
2005,Jordan,1,0.017543859649122806
2005,McLaren,18,0.3157894736842105
2005,Renault,18,0.3157894736842105
2005,Toyota,5,0.08771929824561403
2005,Williams,4,0.07017543859649122
2006,BMW Sauber,2,0.037037037037037035
2006,Ferrari,19,0.35185185185185186
2006,Honda,3,0.05555555555555555
2006,McLaren,9,0.16666666666666666
2006,Red Bull,1,0.018518518518518517
2006,Renault,19,0.35185185185185186
2006,Toyota,1,0.018518518518518517
2007,BMW Sauber,2,0.0392156862745098
2007,Ferrari,22,0.43137254901960786
2007,McLaren,24,0.47058823529411764
2007,Red Bull,1,0.0196078431372549
2007,Renault,1,0.0196078431372549
2007,Williams,1,0.0196078431372549
2008,BMW Sauber,11,0.2037037037037037
2008,Ferrari,19,0.35185185185185186
2008,Honda,1,0.018518518518518517
2008,McLaren,13,0.24074074074074073
2008,Red Bull,1,0.018518518518518517
2008,Renault,4,0.07407407407407407
2008,Toro Rosso,1,0.018518518518518517
2008,Toyota,2,0.037037037037037035
2008,Williams,2,0.037037037037037035
2009,BMW Sauber,2,0.0392156862745098
2009,Brawn,15,0.29411764705882354
2009,Ferrari,6,0.11764705882352941
2009,Force India,1,0.0196078431372549
2009,McLaren,5,0.09803921568627451
2009,Red Bull,16,0.3137254901960784
2009,Renault,1,0.0196078431372549
2009,Toyota,5,0.09803921568627451
2010,Ferrari,15,0.2631578947368421
2010,McLaren,16,0.2807017543859649
2010,Mercedes,3,0.05263157894736842
2010,Red Bull,20,0.3508771929824561
2010,Renault,3,0.05263157894736842
2011,Ferrari,10,0.17543859649122806
2011,McLaren,18,0.3157894736842105
2011,Red Bull,27,0.47368421052631576
2011,Renault,2,0.03508771929824561
2012,Ferrari,15,0.25
2012,Lotus F1,10,0.16666666666666666
2012,McLaren,13,0.21666666666666667
2012,Mercedes,3,0.05
2012,Red Bull,14,0.23333333333333334
2012,Sauber,4,0.06666666666666667
2012,Williams,1,0.016666666666666666
2013,Ferrari,10,0.17543859649122806
2013,Lotus F1,14,0.24561403508771928
2013,Mercedes,9,0.15789473684210525
2013,Red Bull,24,0.42105263157894735
2014,Ferrari,2,0.03508771929824561
2014,Force India,1,0.017543859649122806
2014,McLaren,2,0.03508771929824561
2014,Mercedes,31,0.543859649122807
2014,Red Bull,12,0.21052631578947367
2014,Williams,9,0.15789473684210525
2015,Ferrari,16,0.2807017543859649
2015,Force India,1,0.017543859649122806
2015,Lotus F1,1,0.017543859649122806
2015,Mercedes,32,0.5614035087719298
2015,Red Bull,3,0.05263157894736842
2015,Williams,4,0.07017543859649122
2016,Ferrari,11,0.1746031746031746
2016,Force India,2,0.031746031746031744
2016,Mercedes,33,0.5238095238095238
2016,Red Bull,16,0.25396825396825395
2016,Williams,1,0.015873015873015872
2017,Ferrari,20,0.3333333333333333
2017,Mercedes,26,0.43333333333333335
2017,Red Bull,13,0.21666666666666667
2017,Williams,1,0.016666666666666666
2018,Ferrari,24,0.38095238095238093
2018,Force India,1,0.015873015873015872
2018,Mercedes,25,0.3968253968253968
2018,Red Bull,13,0.20634920634920634
2019,Ferrari,19,0.30158730158730157
2019,McLaren,1,0.015873015873015872
2019,Mercedes,32,0.5079365079365079
2019,Red Bull,9,0.14285714285714285
2019,Toro Rosso,2,0.031746031746031744
2020,AlphaTauri,1,0.0196078431372549
2020,Ferrari,3,0.058823529411764705
2020,McLaren,2,0.0392156862745098
2020,Mercedes,25,0.49019607843137253
2020,Racing Point,4,0.0784313725490196
2020,Red Bull,13,0.2549019607843137
2020,Renault,3,0.058823529411764705
2021,AlphaTauri,1,0.015151515151515152
2021,Alpine F1 Team,2,0.030303030303030304
2021,Aston Martin,1,0.015151515151515152
2021,Ferrari,5,0.07575757575757576
2021,McLaren,5,0.07575757575757576
2021,Mercedes,28,0.42424242424242425
2021,Red Bull,23,0.3484848484848485
2021,Williams,1,0.015151515151515152
2022,Ferrari,20,0.30303030303030304
2022,McLaren,1,0.015151515151515152
2022,Mercedes,17,0.25757575757575757
2022,Red Bull,28,0.42424242424242425
2023,Alpine F1 Team,2,0.030303030303030304
2023,Aston Martin,8,0.12121212121212122
2023,Ferrari,9,0.13636363636363635
2023,McLaren,9,0.13636363636363635
2023,Mercedes,8,0.12121212121212122
2023,Red Bull,30,0.45454545454545453
2024,Alpine F1 Team,2,0.027777777777777776
2024,Ferrari,22,0.3055555555555556
2024,McLaren,21,0.2916666666666667
2024,Mercedes,9,0.125
2024,Red Bull,18,0.25
