panel,label,label_order,car_median,pt_median,penalty_min,pt_ratio,n_car,n_pt
tier,None (0),0,10,38.0,28.0,3.8,1761,62
tier,Low (1-2),1,12.0,37,25.0,3.08,1838,205
tier,Medium (3-5),2,11,45,34,4.09,6155,417
tier,High (6+),3,10.0,60.0,50.0,6.0,5502,250
irsd,Decile 2,2,10,61.0,51.0,6.1,535,44
irsd,Decile 3,3,15,61,46,4.07,419,25
irsd,Decile 6,6,13,70.0,57.0,5.38,1145,52
irsd,Decile 7,7,11.0,60,49.0,5.45,1732,89
irsd,Decile 8,8,10,48,38,4.8,4181,245
irsd,Decile 9,9,12.0,45.0,33.0,3.75,4208,234
irsd,Decile 10,10,10.0,36,26.0,3.6,3036,245
